quote
ZARXAU
ZARBTC
ZARETH
ZARLTC
ZARXRP
ZARDSH
ZARBCH
HKDEUR
HKDUSD
HKDJPY
HKDGBP
HKDCAD
HKDCHF
HKDAUD
HKDNZD
HKDSGD
HKDNOK
HKDRUB
HKDSEK
HKDTRY
HKDZAR
HKDCNH
HKDDKK
HKDMXN
HKDPLN
HKDXAG
HKDXAU
HKDBTC
HKDETH
HKDLTC
HKDXRP
HKDDSH
HKDBCH
CNHEUR
CNHUSD
CNHJPY
CNHGBP
CNHCAD
CNHCHF
CNHAUD
CNHNZD
CNHSGD
CNHNOK
CNHRUB
CNHSEK
CNHTRY
CNHZAR
CNHHKD
CNHDKK
CNHMXN
CNHPLN
CNHXAG
CNHXAU
CNHBTC
CNHETH
CNHLTC
CNHXRP
CNHDSH
CNHBCH
DKKEUR
DKKUSD
DKKJPY
DKKGBP
DKKCAD
DKKCHF
DKKAUD
DKKNZD
DKKSGD
DKKNOK
DKKRUB
DKKSEK
DKKTRY
DKKZAR
DKKHKD
DKKCNH
DKKMXN
DKKPLN
DKKXAG
DKKXAU
DKKBTC
DKKETH
DKKLTC
DKKXRP
DKKDSH
DKKBCH
MXNEUR
MXNUSD
MXNJPY
MXNGBP
MXNCAD
MXNCHF
MXNAUD
MXNNZD
MXNSGD
MXNNOK
MXNRUB
MXNSEK
MXNTRY
MXNZAR
MXNHKD
MXNCNH
MXNDKK
MXNPLN
MXNXAG
MXNXAU
MXNBTC
MXNETH
MXNLTC
MXNXRP
MXNDSH
MXNBCH
PLNEUR
PLNUSD
PLNJPY
PLNGBP
PLNCAD
PLNCHF
PLNAUD
PLNNZD
PLNSGD
PLNNOK
PLNRUB
PLNSEK
PLNTRY
PLNZAR
PLNHKD
PLNCNH
PLNDKK
PLNMXN
PLNXAG
PLNXAU
PLNBTC
PLNETH
PLNLTC
PLNXRP
PLNDSH
PLNBCH
XAGJPY
XAGGBP
XAGCAD
XAGCHF
XAGAUD
XAGNZD
XAGSGD
XAGNOK
XAGRUB
XAGSEK
XAGTRY
XAGZAR
XAGHKD
XAGCNH
XAGDKK
XAGMXN
XAGPLN
XAGXAU
XAGBTC
XAGETH
XAGLTC
XAGXRP
XAGDSH
XAGBCH
XAUEUR
XAUJPY
XAUGBP
XAUCAD
XAUCHF
XAUAUD
XAUNZD
XAUSGD
XAUNOK
XAURUB
XAUSEK
XAUTRY
XAUZAR
XAUHKD
XAUCNH
XAUDKK
XAUMXN
XAUPLN
XAUXAG
XAUBTC
XAUETH
XAULTC
XAUXRP
XAUDSH
XAUBCH
BTCEUR
BTCJPY
BTCGBP
BTCCAD
BTCCHF
BTCAUD
BTCNZD
BTCSGD
BTCNOK
BTCRUB
BTCSEK
BTCTRY
BTCZAR
BTCHKD
BTCCNH
BTCDKK
BTCMXN
BTCPLN
BTCXAG
BTCXAU
BTCETH
BTCLTC
BTCXRP
BTCDSH
BTCBCH
ETHEUR
ETHJPY
ETHGBP
ETHCAD
ETHCHF
ETHAUD
ETHNZD
ETHSGD
ETHNOK
ETHRUB
ETHSEK
ETHTRY
ETHZAR
ETHHKD
ETHCNH
ETHDKK
ETHMXN
ETHPLN
ETHXAG
ETHXAU
ETHLTC
ETHXRP
ETHDSH
ETHBCH
LTCEUR
LTCJPY
LTCGBP
LTCCAD
LTCCHF
LTCAUD
LTCNZD
LTCSGD
LTCNOK
LTCRUB
LTCSEK
LTCTRY
LTCZAR
LTCHKD
LTCCNH
LTCDKK
LTCMXN
LTCPLN
LTCXAG
LTCXAU
LTCETH
LTCXRP
LTCDSH
LTCBCH
XRPEUR
XRPJPY
XRPGBP
XRPCAD
XRPCHF
XRPAUD
XRPNZD
XRPSGD
XRPNOK
XRPRUB
XRPSEK
XRPTRY
XRPZAR
XRPHKD
XRPCNH
XRPDKK
XRPMXN
XRPPLN
XRPXAG
XRPXAU
XRPETH
XRPLTC
XRPDSH
XRPBCH
DSHEUR
DSHJPY
DSHGBP
DSHCAD
DSHCHF
DSHAUD
DSHNZD
DSHSGD
DSHNOK
DSHRUB
DSHSEK
DSHTRY
DSHZAR
DSHHKD
DSHCNH
DSHDKK
DSHMXN
DSHPLN
DSHXAG
DSHXAU
DSHETH
DSHLTC
DSHXRP
DSHBCH
BCHEUR
BCHJPY
BCHGBP
BCHCAD
BCHCHF
BCHAUD
BCHNZD
BCHSGD
BCHNOK
BCHRUB
BCHSEK
BCHTRY
BCHZAR
BCHHKD
BCHCNH
BCHDKK
BCHMXN
BCHPLN
BCHXAG
BCHXAU
BCHETH
BCHLTC
BCHXRP
BCHDSH
EURUSD
USDJPY
GBPUSD
USDCAD
USDCHF
AUDUSD
NZDUSD
EURGBP
EURCHF
EURCAD
EURAUD
EURNZD
EURJPY
GBPJPY
CHFJPY
CADJPY
AUDJPY
NZDJPY
GBPCHF
GBPAUD
GBPCAD
GBPNZD
AUDCAD
AUDCHF
AUDNZD
CADCHF
AUDSGD
CHFSGD
EURNOK
EURRUB
EURSEK
EURSGD
EURTRY
EURZAR
GBPHKD
GBPNOK
GBPSEK
GBPSGD
NOKJPY
NZDCAD
NZDCHF
SGDJPY
USDCNH
USDDKK
USDHKD
USDMXN
USDNOK
USDPLN
USDRUB
USDSEK
USDSGD
USDTRY
USDZAR
XAGEUR
XAGUSD
XAUUSD
BTCUSD
ETHBTC
ETHUSD
LTCBTC
LTCUSD
XRPUSD
XRPBTC
DSHUSD
DSHBTC
BCHUSD
BCHBTC
